sample_id,seed,objective,success,v12,v21,obj_value,n_iters,converged,elapsed_time,error,E0,Emin,ft,max_iter,nelx,nely,nu,save_every,scale_factor,tol_change,tol_obj,void_size_frac,volfrac,window_size
183,hexagonal,auxetic,True,0.25960044104942415,0.2636595559037112,54.149113661925284,47,True,9.09,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.26698,0.448581,20
184,hexagonal,auxetic,True,0.39884962128938745,0.39884962128939466,68.6871919175635,33,True,6.39,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.147927,0.465105,20
185,hexagonal,auxetic,True,0.1779319342955311,0.1753710128532548,61.344983737015156,46,True,8.95,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.327011,0.491279,20
186,hexagonal,auxetic,True,0.2009391385504849,0.20095362383639273,23.381889375681897,37,True,7.06,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.355376,0.322553,20
187,hexagonal,auxetic,True,0.32102930566679583,0.29401307135719373,110.73551590156734,150,True,28.11,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.138133,0.57486,20
188,hexagonal,auxetic,True,0.2989159686187362,0.3001964351977999,111.23497032761553,34,True,6.42,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.219868,0.587284,20
189,hexagonal,auxetic,True,0.1881385414991655,0.18682995586895917,41.122728224506915,40,True,7.55,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.336332,0.412415,20
190,hexagonal,auxetic,True,0.23915656667015633,0.23772582578555537,38.09022069840039,33,True,6.26,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.278911,0.391173,20
191,hexagonal,auxetic,True,0.25043492292543146,0.25699863040131365,65.90715341333966,37,True,7.13,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.272744,0.486968,20
192,hexagonal,auxetic,True,0.31502328527861295,0.31482086130395026,93.10195929889704,33,True,6.17,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.202238,0.543606,20
193,hexagonal,auxetic,True,0.15189673121005376,0.150473272499967,36.82113810946282,36,True,6.71,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.391313,0.40223,20
194,hexagonal,auxetic,True,0.21748070032420666,0.19847804761031537,156.27001475530443,150,True,27.49,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.222119,0.671449,20
195,hexagonal,auxetic,True,0.19940894417428903,0.19938301507033862,32.093189609004966,50,True,9.24,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.262228,0.366641,20
196,hexagonal,auxetic,True,0.13683944623916808,0.13329883229631523,150.39381241692888,150,True,27.12,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.293699,0.680341,20
197,hexagonal,auxetic,True,0.17604444243648468,0.1733785502479512,70.471454395954,48,True,9.09,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.324869,0.521251,20
198,hexagonal,auxetic,True,0.30870437159477865,0.28767504359322116,105.1489255999748,150,True,26.63,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.165749,0.565184,20
199,hexagonal,auxetic,True,0.2310991346874943,0.23114196122419053,32.736917671189,49,True,9.24,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.232922,0.362798,20
200,hexagonal,auxetic,True,0.218502932558041,0.22016141731996844,48.91813820319025,32,True,6.08,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.306759,0.437979,20
201,hexagonal,auxetic,True,0.17625116210643896,0.17767163577712514,121.95270208309712,29,True,5.5,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.305155,0.634191,20
202,hexagonal,auxetic,True,0.12577067519227264,0.12752088866288205,137.80941612154984,99,True,18.85,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.363522,0.679701,20
203,hexagonal,auxetic,True,0.1594293989708066,0.1536810833445631,141.42668128221055,150,True,27.29,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.282677,0.665232,20
204,hexagonal,auxetic,True,0.25655731772470497,0.23163720228455179,137.96083711459755,73,True,13.47,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.188189,0.637889,20
205,hexagonal,auxetic,True,0.2760738891278795,0.27470514935840623,49.72025180884164,33,True,6.27,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.245471,0.426645,20
206,hexagonal,auxetic,True,0.10066683660207093,0.10036275375470956,117.41419900266257,36,True,6.89,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.394511,0.646262,20
207,hexagonal,auxetic,True,0.23077905564981413,0.23075256332738445,20.990904185978728,54,True,10.18,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.295137,0.300205,20
208,hexagonal,auxetic,True,0.1990703312944416,0.19873947923941873,32.90325707704237,34,True,6.45,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.25204,0.371323,20
209,hexagonal,auxetic,True,0.366549685576038,0.3220339773199267,102.51223114250996,148,True,26.78,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.125335,0.55581,20
210,hexagonal,auxetic,True,0.3225718406903252,0.34584418337027983,96.69730894455384,150,True,26.77,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.142701,0.535742,20
211,hexagonal,auxetic,True,0.37616183651918145,0.37757834481919866,85.72992657428716,31,True,5.84,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.163682,0.514237,20
