batch,seed,sample_id,image_path,v12,v21,volfrac_achieved,obj_value,converged,volfrac,penal,rmin,move,void_size_frac,n_components,is_connected,degenerate,solid_frac
1,circle_half_quarter,222,outputs/multi_batch/batch_1/circle_half_quarter/sample_0222/iteration_00150.png,0.1118571005311113,0.111857100531271,0.210777,1.9494443489770068,True,0.453398,3.454581,2.273933,0.177895,0.53846,3,False,False,0.197021484375
1,circle_half_quarter,227,outputs/multi_batch/batch_1/circle_half_quarter/sample_0227/iteration_00150.png,0.1884985892870792,0.1884985892872749,0.250334,1.9236645824696783,True,0.52816,4.184722,1.069724,0.146521,0.526506,5,False,False,0.2548828125
1,circle_half_quarter,228,outputs/multi_batch/batch_1/circle_half_quarter/sample_0228/iteration_00150.png,0.1488462629465025,0.1488462629465894,0.268042,1.8396197699638888,True,0.546569,3.143487,1.434651,0.104606,0.503856,5,False,False,0.2333984375
1,circle_half_quarter,231,outputs/multi_batch/batch_1/circle_half_quarter/sample_0231/iteration_00150.png,-0.1928487957608707,-0.194730586525026,0.471635,1.50701151328543,True,0.47208,4.734983,1.761308,0.073867,0.309177,2,False,False,0.475830078125
1,circle_half_quarter,232,outputs/multi_batch/batch_1/circle_half_quarter/sample_0232/iteration_00150.png,0.0467771311604401,0.0467771311584651,0.123216,1.958071005767044,True,0.600332,2.130139,1.716903,0.067146,0.543464,16,False,False,0.09033203125
1,cross_rectangular,253,outputs/multi_batch/batch_1/cross_rectangular/sample_0253/iteration_00150.png,-0.2573863416267102,-0.2476911949431289,0.554664,0.7605896075196258,True,0.554663,2.413397,1.682069,0.194769,0.332107,2,False,False,0.565185546875
1,cross_rectangular,259,outputs/multi_batch/batch_1/cross_rectangular/sample_0259/iteration_00150.png,-0.3594855517646493,-0.3676088752056673,0.503852,0.7511749521769316,True,0.503852,2.519909,1.35934,0.144315,0.269309,3,False,False,0.506103515625
1,cross_rectangular,264,outputs/multi_batch/batch_1/cross_rectangular/sample_0264/iteration_00150.png,-0.611660988912416,-0.5442387943816128,0.588275,0.2643168407418945,True,0.588274,3.753636,1.049184,0.094103,0.47403,4,False,False,0.594482421875
1,cross_rectangular,268,outputs/multi_batch/batch_1/cross_rectangular/sample_0268/iteration_00150.png,-0.2847345109276048,-0.3209029477496886,0.637879,0.6503420899975616,True,0.637879,4.365906,2.123657,0.131598,0.380992,2,False,False,0.64404296875
1,cross_rectangular,271,outputs/multi_batch/batch_1/cross_rectangular/sample_0271/iteration_00150.png,-0.1463687887888575,-0.151757440775923,0.608367,0.7464302499878012,True,0.608367,2.328228,1.456624,0.074405,0.433117,2,False,False,0.6123046875
1,cross_rectangular,277,outputs/multi_batch/batch_1/cross_rectangular/sample_0277/iteration_00150.png,-0.2678074682578197,-0.265278652567981,0.557371,0.8760580063377879,True,0.601807,2.623729,1.140116,0.155214,0.414353,2,False,False,0.555908203125
1,cross_rectangular,281,outputs/multi_batch/batch_1/cross_rectangular/sample_0281/iteration_00150.png,-0.3163500712661485,-0.3029539020992863,0.464148,0.773641785934115,True,0.464148,2.063275,1.605444,0.225905,0.250033,3,False,False,0.462158203125
1,cross_rectangular,297,outputs/multi_batch/batch_1/cross_rectangular/sample_0297/iteration_00150.png,-0.3300648949824461,-0.3309453576415664,0.547177,0.5971580867353445,True,0.547177,2.834583,1.338932,0.249359,0.457194,2,False,False,0.559814453125
1,cross_rectangular,313,outputs/multi_batch/batch_1/cross_rectangular/sample_0313/iteration_00150.png,-0.4442745232514169,-0.4355154712067601,0.49799,1.5165753877288202,True,0.647569,2.468627,1.220235,0.23466,0.389892,3,False,False,0.500244140625
